Training Time: 39:19 minutes
dessert sweet HasProperty HasProperty
cut seal Antonym Antonym
rack stand Synonym IsA
eye lens HasA HasA
kite yellow HasProperty HasProperty
busy relax Antonym Antonym
humanity mankind Synonym Synonym
game fun Synonym HasProperty
stream flow Synonym Synonym
bush leave HasA HasA
basement house PartOf PartOf
house build IsA IsA
arch open IsA IsA
storm unusual HasProperty HasProperty
bill money IsA Antonym
tail fish PartOf PartOf
group separate Antonym Antonym
lettuce plant IsA IsA
read write Antonym Antonym
sit sit_down Synonym Synonym
cast fish IsA HasProperty
nail finger PartOf PartOf
word dictionary PartOf PartOf
lady gent Antonym Antonym
human_body soft HasProperty HasProperty
approach address IsA Synonym
train gown PartOf PartOf
child amuse HasProperty HasProperty
land ocean Antonym Antonym
college school Synonym IsA
beautiful bad Antonym Antonym
fact false Antonym Antonym
hand body PartOf PartOf
cloud clear Antonym Antonym
city state PartOf Antonym
phone plastic MadeOf MadeOf
game word IsA HasA
affection healthy HasProperty HasProperty
kiss good HasProperty HasProperty
person tooth HasA HasA
house bed HasA HasA
ruler leader Synonym IsA
rule subject Antonym IsA
soda soft_drink Synonym IsA
steel strong HasProperty HasProperty
phrase construction IsA IsA
follower person IsA IsA
add join Synonym Synonym
killer person IsA IsA
fail succeed Antonym Antonym
sugar food IsA IsA
unhappy delight Antonym Antonym
object solid HasProperty HasProperty
kid energetic HasProperty HasProperty
freedom gift IsA IsA
glass water HasA Antonym
long high Synonym Antonym
fine bad Antonym Antonym
dish meal PartOf PartOf
sword metal MadeOf MadeOf
enter exit Antonym Antonym
tooth mouth PartOf PartOf
you beautiful HasProperty HasProperty
type subject IsA Synonym
tread contact IsA IsA
play perform IsA IsA
space blank Synonym HasProperty
grave death IsA IsA
wave calm Antonym Antonym
hem sew IsA IsA
jacket case Synonym IsA
yarn clothe PartOf PartOf
cat fur MadeOf HasA
table flat HasProperty HasProperty
get_up stand_up Synonym Synonym
condition experiment PartOf IsA
love heart IsA PartOf
car roof HasA HasA
chair leg HasA HasA
highway busy HasProperty HasProperty
part separate Synonym Synonym
cow innocent HasProperty HasProperty
human mammal IsA IsA
space big HasProperty HasProperty
sickness well Antonym Antonym
man human IsA IsA
view scene Synonym Synonym
abstract concrete Antonym Antonym
gold color IsA IsA
moon rock MadeOf MadeOf
affection feel IsA IsA
food dirty HasProperty HasProperty
everything nothing Antonym Antonym
fur scale Antonym Antonym
time fleet HasProperty Synonym
lock engage IsA IsA
train big HasProperty HasProperty
fork knife Antonym Antonym
row argument Synonym IsA
laughter cry Antonym Antonym
bird mammal Antonym Antonym
old young Antonym Antonym
parent person IsA IsA
throw catch Antonym Antonym
drive traffic_jam Antonym Synonym
criminal human IsA IsA
queen woman IsA IsA
discover cover Antonym Antonym
pitcher person IsA IsA
part share Synonym Antonym
cell molecule MadeOf MadeOf
party funeral Antonym Antonym
joy emotion IsA IsA
injure praise Antonym Antonym
laugh relax HasProperty HasProperty
pay steal Antonym Antonym
catch problem Synonym Antonym
train teach IsA IsA
drive park Antonym Antonym
scene film PartOf PartOf
tire automobile PartOf PartOf
lightning loud HasProperty HasProperty
kite fun HasProperty HasProperty
alley dark HasProperty HasProperty
letter book PartOf PartOf
sun company IsA HasA
soft_drink drink IsA IsA
airplane heavy HasProperty HasProperty
boat steel MadeOf MadeOf
prison build IsA IsA
pen solid HasProperty HasProperty
civilization society IsA Synonym
criminal person IsA IsA
buy shop Synonym Synonym
coffee water MadeOf Antonym
eye mouth Antonym Antonym
poison contaminate Synonym IsA
sun gas MadeOf IsA
divine ordinary Antonym Antonym
loud bad HasProperty HasProperty
desert ocean Antonym Antonym
side back Antonym Antonym
queen old HasProperty HasProperty
root number IsA PartOf
gentle hard Antonym Antonym
plow till IsA Synonym
tour travel IsA IsA
adult animal IsA IsA
sand dirt Antonym Antonym
turkey place IsA IsA
carry have IsA Synonym
board committee Synonym Antonym
assemble destroy Antonym Antonym
leader follower HasA Antonym
hot mild Antonym Antonym
top ship PartOf PartOf
line poem PartOf PartOf
life vulnerable HasProperty HasProperty
word sentence PartOf PartOf
story real Antonym Antonym
dream awake Antonym Antonym
god idol Synonym IsA
anger happiness Antonym Antonym
lock gate PartOf PartOf
standard flag Synonym IsA
tax credit Antonym Antonym
side edge Synonym Synonym
split share IsA Antonym
death life Antonym PartOf
apartment red HasProperty HasProperty
organ human PartOf PartOf
eye look IsA IsA
polish perfect IsA Synonym
head top IsA Synonym
sword blade Synonym HasA
ice melt HasProperty Antonym
get bring Synonym Antonym
cat evil HasProperty HasProperty
bacon pig MadeOf PartOf
trouble event IsA IsA
ram computer PartOf PartOf
missouri place IsA IsA
bus place IsA IsA
watch hand HasA Synonym
girlfriend woman IsA IsA
pain pleasure Antonym Antonym
den house PartOf PartOf
coat wool MadeOf MadeOf
snowflake water MadeOf MadeOf
duck bone HasA HasA
house blue HasProperty HasProperty
i alphabet PartOf PartOf
feel experience IsA IsA
hollow empty IsA Synonym
punishment crime Antonym PartOf
miss have Antonym Antonym
wrong bad HasProperty HasProperty
belief good HasProperty HasProperty
boil ice Antonym Antonym
separate change IsA IsA
build tall HasProperty HasProperty
couple family IsA IsA
dress blue HasProperty HasProperty
steam water IsA Antonym
earth milky_way PartOf Antonym
friendship important HasProperty HasProperty
piano keyboard HasA HasA
brave person IsA IsA
ice white HasProperty HasProperty
gild gold MadeOf Synonym
old past Synonym Synonym
cap fungus PartOf MadeOf
trouble row Synonym Synonym
person kind HasProperty HasProperty
egg food IsA IsA
creation begin IsA IsA
tv business IsA IsA
plastic solid HasProperty HasProperty
break separation IsA IsA
fail pass Antonym IsA
pupil teacher Antonym Antonym
lake water HasA HasA
religion science Antonym Antonym
sweater yarn MadeOf MadeOf
car tire HasA HasA
friend lover Synonym Antonym
new familiar Antonym Antonym
positive evil Antonym Antonym
human_body organ HasA HasA
bounce up Synonym Synonym
fruit good HasProperty HasProperty
nail steel MadeOf MadeOf
rich plain Antonym Antonym
clear remove IsA IsA
company be_alone Antonym Antonym
cool fine Synonym Synonym
life fragile HasProperty HasProperty
boat vessel Synonym IsA
river cold HasProperty HasProperty
morning night Antonym Antonym
cow food IsA HasA
fill change IsA IsA
kettle pot IsA Synonym
vision view Synonym Synonym
blue red Antonym Antonym
garden place IsA IsA
curl arch Synonym Synonym
pee water MadeOf HasA
keep record IsA Synonym
screen cell_phone PartOf PartOf
sentence speech PartOf PartOf
frame picture PartOf PartOf
person mammal IsA IsA
comfortable uncomfortable Antonym Antonym
talk silent Antonym Antonym
bear fur HasA HasA
door solid HasProperty HasProperty
tire black HasProperty HasProperty
bow knot HasA Synonym
green color IsA IsA
mean cheap Synonym Antonym
loose tight Antonym Antonym
department place IsA IsA
milk liquid IsA HasProperty
stretch contract Antonym Antonym
beach sand MadeOf HasA
jug handle HasA HasA
japan pacific PartOf PartOf
rise reduce Antonym Antonym
mold container IsA IsA
air pressure HasA HasA
statue marble MadeOf MadeOf
freedom communism Antonym Antonym
gold rubbish Antonym Antonym
stapler tool IsA IsA
anger unpleasant HasProperty HasProperty
knot bind Synonym IsA
baseball nice HasProperty HasProperty
fly wing HasA Synonym
body leg Antonym HasA
skin foot PartOf PartOf
fact lie Antonym Antonym
man strong HasProperty HasProperty
travel trip Synonym Synonym
seed apple PartOf PartOf
land soil Synonym MadeOf
talk write Antonym Antonym
connect join Synonym Synonym
cry smile Antonym Antonym
orange fruit PartOf IsA
content book PartOf PartOf
head think Synonym IsA
apartment black HasProperty HasProperty
sunlight light IsA IsA
catch take Synonym IsA
travel action IsA IsA
university school IsA IsA
author book PartOf PartOf
blow fight PartOf IsA
account report Synonym Synonym
computer cool HasProperty HasProperty
television tv IsA Synonym
smart dull Antonym Antonym
tile cold HasProperty HasProperty
human_body blood HasA HasA
ocean water HasProperty MadeOf
baby fragile HasProperty HasProperty
expand develop Synonym IsA
room wall HasA HasA
long short Antonym Antonym
go_out date Synonym Synonym
chest case Synonym Synonym
tissue paper IsA IsA
village town IsA Antonym
baby hair HasA HasA
dollar coin IsA IsA
volume stock PartOf Synonym
fancy simple Antonym Antonym
different same Antonym Antonym
actress actor Antonym Synonym
agreement good HasProperty HasProperty
new novel Synonym Synonym
clear fog Antonym Antonym
food content IsA IsA
food vegetable IsA Antonym
fish meat Antonym Antonym
arithmetic math Synonym Synonym
sex game IsA IsA
lot small Antonym Antonym
cake milk MadeOf MadeOf
network business IsA IsA
silver metal IsA IsA
human_be flesh MadeOf MadeOf
copy learn Antonym PartOf
sound silent Antonym Antonym
one song IsA IsA
story interest HasProperty HasProperty
cookie text IsA Antonym
lobby room IsA IsA
stone rough HasProperty HasProperty
bat animal IsA IsA
monitor computer PartOf PartOf
person nose HasA HasA
nature complex HasProperty HasProperty
time newspaper IsA PartOf
bring empty Antonym Antonym
sky cloud HasA HasA
sharp bitter Synonym Antonym
fire light HasProperty IsA
edge middle Antonym Antonym
vacation spend IsA IsA
he person IsA IsA
object surface HasA HasA
rubber_duck soft HasProperty HasProperty
jar glass MadeOf MadeOf
pleasure feel IsA IsA
strong weak Antonym Antonym
annoy please Antonym Antonym
cube brick Synonym Synonym
statue_of_liberty copper MadeOf MadeOf
duck alive HasProperty Antonym
airplane wing HasA HasA
trunk wood IsA MadeOf
agreement understand Synonym Synonym
loose bind Antonym Antonym
human male IsA HasProperty
sheep follower IsA IsA
water deep HasProperty HasProperty
pillow cotton MadeOf MadeOf
problem bad HasProperty HasProperty
dog brain HasA HasA
space beautiful HasProperty HasProperty
female human IsA IsA
fruit seed HasA HasA
lung body PartOf PartOf
kite bird IsA IsA
ball globe Synonym PartOf
student notebook HasA HasA
polish perfect Synonym Synonym
bow curve Synonym IsA
seam dress PartOf PartOf
mountain beautiful HasProperty HasProperty
confidence emotion IsA IsA
sand soil Antonym IsA
science fun HasProperty HasProperty
salt_water water IsA IsA
rise down Antonym Antonym
turtle shell HasA HasA
house black HasProperty HasProperty
dive action IsA IsA
tooth sharp HasProperty HasProperty
comfort uncomfortable Antonym Antonym
basement attic Antonym Antonym
organ body PartOf PartOf
river place IsA IsA
couch sofa Synonym Synonym
saw handle HasA HasA
grass cover IsA IsA
wind blow IsA IsA
dance sing Antonym Antonym
hatred love Antonym Antonym
they you Antonym Antonym
tax bad HasProperty HasProperty
school university Synonym Antonym
jacket cover IsA IsA
male sex IsA IsA
tool steel MadeOf MadeOf
clock machine IsA IsA
lift drive IsA Antonym
black clothe IsA IsA
place square Synonym HasProperty
map book PartOf IsA
air vacuum Antonym Antonym
play performance IsA IsA
club diamond Antonym MadeOf
grow die Antonym Antonym
break change IsA IsA
family nice HasProperty HasProperty
computer tool IsA IsA
rain dry Antonym Antonym
telephone call Synonym Synonym
defeat beat Synonym Antonym
data bit MadeOf MadeOf
book read HasProperty HasProperty
point score PartOf IsA
great small Antonym Antonym
button plastic MadeOf MadeOf
waste consume Antonym Antonym
mug cup IsA Synonym
cut free IsA Antonym
flower green HasProperty HasProperty
sleep awake Antonym Antonym
bed bedroom PartOf PartOf
animate stationary Antonym Antonym
pick metal MadeOf MadeOf
door handle HasA HasA
bat club IsA IsA
doctor educate HasProperty HasProperty
animal friendly HasProperty HasProperty
sheet cotton MadeOf MadeOf
raise cut Antonym Antonym
close narrow Synonym Synonym
cut part IsA IsA
france beach HasA HasA
australia place IsA IsA
calf body_part IsA IsA
book story HasA HasA
pain unpleasant HasProperty HasProperty
world large HasProperty HasProperty
rush slow Antonym Antonym
lie true Antonym Antonym
blue green Antonym Antonym
everyone boss HasA HasA
car fun HasProperty HasProperty
base black HasProperty HasProperty
nose human PartOf PartOf
offspring baby Synonym Synonym
print reproduce IsA IsA
listen talk Antonym Antonym
story floor Synonym HasA
pass change IsA IsA
reduce grow Antonym Antonym
lemon orange Antonym Antonym
educate good IsA HasProperty
laugh healthy HasProperty HasProperty
quality rubbish Antonym Antonym
foolish intelligent Antonym Antonym
steam water MadeOf Antonym
rain weather PartOf IsA
jam fruit MadeOf MadeOf
strange unknown Synonym Synonym
person fun HasA HasProperty
manufacture destroy Antonym Antonym
stretch relax Antonym Antonym
flight fly IsA Synonym
plastic hard HasProperty HasProperty
burn feel IsA IsA
build assemble Synonym Synonym
fruit healthy HasProperty HasProperty
dark illuminate Antonym Antonym
relaxation stress Antonym Antonym
nothing something Antonym Antonym
statement fact IsA IsA
water cold HasProperty HasProperty
hit shoot Synonym Antonym
dream hope IsA Synonym
deal contract Synonym Synonym
act action Synonym Synonym
leg support IsA IsA
ascend descend Antonym Antonym
meal food HasA IsA
man mean HasProperty HasProperty
organization order Synonym Synonym
dirt clean Antonym Antonym
ocean wet HasProperty HasProperty
trade steal Antonym Antonym
room place Synonym IsA
snowflake ice IsA IsA
calm wild Antonym Antonym
park place IsA IsA
deep high Antonym Antonym
pepper salt Antonym Antonym
atom nucleus MadeOf MadeOf
emotion mind PartOf PartOf
brave weak Antonym Antonym
complete finish Synonym Synonym
end conclusion Synonym Synonym
ski fun HasProperty HasProperty
house wall HasA HasA
pattern type Synonym Synonym
statue image IsA IsA
health important HasProperty HasProperty
loose tie Antonym Antonym
sunlight warm HasProperty HasProperty
edge point Antonym IsA
fail change IsA IsA
wash dry Antonym Antonym
full satisfy Synonym Synonym
boot shoe IsA IsA
bridge link IsA IsA
box pack Synonym Synonym
animal vegetable Antonym Antonym
horn wind_instrument IsA IsA
crop cut IsA HasProperty
speed movie IsA PartOf
captain person IsA IsA
flat sharp Antonym Antonym
smoke cool HasProperty HasProperty
dress suit Antonym Synonym
england great_britain IsA PartOf
line letter Synonym PartOf
computer monitor HasA HasA
oxygen air PartOf PartOf
person entertain HasProperty HasProperty
soil clean Antonym HasProperty
dog sweet HasProperty HasProperty
flight fly Synonym Synonym
juice milk Antonym Antonym
water molecule IsA IsA
lie truth Antonym Antonym
cloud sun Antonym Antonym
steam cook IsA IsA
sole foot PartOf PartOf
practice train Synonym IsA
submarine steel MadeOf MadeOf
beak nose IsA Antonym
screen pick Synonym Synonym
evil kind Antonym Antonym
flow stick Antonym Antonym
tree fruit HasA HasA
oil water Antonym Antonym
photograph instant HasProperty HasProperty
order division Antonym Synonym
break create Antonym Antonym
person eye HasA HasA
hour day PartOf PartOf
lyric poem IsA IsA
order community Synonym Synonym
leaf green HasProperty HasProperty
black dark Synonym HasProperty
advance move IsA IsA
politician human IsA IsA
body beautiful HasProperty HasProperty
shadow sunlight Antonym Antonym
confidence fear Antonym Antonym
new use Antonym Antonym
toilet pot Synonym Synonym
vacation work Antonym Antonym
pale tan Antonym Synonym
attach connect Synonym IsA
increase grow Synonym IsA
deal result IsA IsA
husband wife Antonym Antonym
safe steel MadeOf MadeOf
raise lift Synonym Synonym
cloth cotton HasA MadeOf
diamond clear HasProperty HasProperty
sunshine cloudy Antonym Antonym
bank change HasA HasA
faith confidence Synonym Synonym
offspring person IsA IsA
string string_instrument PartOf IsA
decide pick Synonym Synonym
paint paper Antonym Antonym
dot point IsA IsA
give pass Synonym Antonym
naughty nice Antonym Antonym
bedroom dwell PartOf PartOf
saw sharp HasProperty HasProperty
drink use IsA IsA
car fast HasProperty HasProperty
mature develop IsA IsA
piece part IsA Synonym
kind unkind Antonym Antonym
ship bridge HasA HasA
give share IsA Synonym
i we Antonym PartOf
dish container IsA IsA
horse sick HasProperty HasProperty
work off Antonym Antonym
fire burn Synonym IsA
head leader Synonym Synonym
machine device IsA IsA
bar place IsA IsA
lady sophisticate HasProperty HasProperty
army crowd IsA IsA
wind rain Antonym Antonym
nation person HasA MadeOf
mind matter Antonym Synonym
object solid IsA HasProperty
game action IsA IsA
sky gas MadeOf HasA
hide open Antonym Antonym
house place IsA IsA
basketball game PartOf IsA
butter yellow HasProperty HasProperty
interest boredom Antonym Antonym
hide show Antonym Antonym
fear brave Antonym Antonym
reach arrive IsA Synonym
banjo wood MadeOf MadeOf
child person IsA IsA
door closet PartOf PartOf
plastic clear HasProperty HasProperty
perfect error Antonym Antonym
key pitch IsA IsA
dull sharp Antonym Antonym
noise sound HasProperty Synonym
city crowd HasProperty Synonym
fashion change HasProperty IsA
writer person IsA IsA
jail prison Synonym Synonym
dance party IsA IsA
kitten dog Antonym IsA
divorce engage Antonym Antonym
camera lens HasA HasA
organism tissue MadeOf MadeOf
australia island IsA MadeOf
frog green HasProperty HasProperty
nature city Antonym Antonym
space full Antonym Antonym
story newspaper PartOf PartOf
blue music IsA IsA
temple feature IsA IsA
joy pain Antonym Antonym
screen choose IsA IsA
experience education IsA PartOf
person social HasProperty HasProperty
art abstract HasProperty HasProperty
metal cold HasProperty HasProperty
deception bad HasProperty HasProperty
blade ax PartOf PartOf
roof bus PartOf PartOf
outer_space large HasProperty HasProperty
cup plate Antonym Antonym
lightning fast HasProperty HasProperty
duck stand_up Antonym Antonym
kid innocent HasProperty HasProperty
noise cry IsA Antonym
fall event IsA IsA
center point IsA IsA
tooth white HasProperty HasProperty
work stimulate IsA HasProperty
consume eat Synonym Synonym
hop travel IsA IsA
alabama place IsA IsA
grass water Antonym HasA
sword steel MadeOf MadeOf
rabbit animal PartOf IsA
boredom bad HasProperty HasProperty
combine union IsA Synonym
construct make Synonym Synonym
phone ring Synonym HasProperty
answer question Antonym Antonym
protect cover Synonym IsA
strange standard Antonym Antonym
glass eyeglass Synonym PartOf
decide settle Synonym Synonym
land water Antonym Antonym
screw tool IsA IsA
lion fur HasA HasA
labour give_birth PartOf Synonym
draw choose IsA IsA
father priest Synonym Antonym
beach nice HasProperty HasProperty
hostility aggression HasProperty Synonym
word letter MadeOf HasA
element speech PartOf IsA
class school PartOf PartOf
sock cotton MadeOf MadeOf
steer control IsA IsA
spirit person IsA Antonym
monk person IsA IsA
horseshoe heavy HasProperty HasProperty
defense prosecution Antonym Antonym
wolf tooth HasA HasA
train long HasProperty HasProperty
wrong correct Antonym Antonym
blow spend IsA IsA
human_be person Synonym Synonym
bow ship PartOf PartOf
speak communicate IsA IsA
dream reality Antonym Antonym
pain punishment Synonym IsA
shade sunshine Antonym Antonym
blow sound IsA IsA
car useful HasProperty HasProperty
government political_ideology MadeOf MadeOf
surprise know Antonym Antonym
human_body bone HasA HasA
dart sharp HasProperty HasProperty
take act IsA IsA
person foot HasA HasA
universe old HasProperty HasProperty
garden tree HasA HasA
cook fun HasProperty HasProperty
trade business IsA Synonym
root tooth PartOf PartOf
pavement road Synonym PartOf
room outside Antonym Antonym
person different HasProperty HasProperty
nice sweet Synonym Synonym
stem plant PartOf PartOf
pee waste HasProperty MadeOf
engage interest Synonym Synonym
student human IsA IsA
hear talk Antonym Antonym
sky large HasProperty HasProperty
useful useless Antonym Antonym
set club Synonym Synonym
distress pain IsA Synonym
head foot Antonym Antonym
body head Antonym HasA
weed remove IsA IsA
sentence word HasA HasA
match play IsA IsA
emotion unpleasant HasProperty HasProperty
voice sound HasProperty IsA
religion confuse HasProperty HasProperty
sheet bed PartOf PartOf
skin bark Synonym Synonym
adventure safe Antonym Antonym
listen concentrate IsA Synonym
warmth comfort HasProperty Synonym
swim fun HasProperty HasProperty
cast mold Synonym Synonym
army war PartOf PartOf
game match Synonym Synonym
curl game IsA IsA
water fluid HasProperty HasProperty
drive fly Antonym Antonym
robot machine IsA IsA
head person PartOf PartOf
fear safety Antonym Antonym
benefit aid Synonym Synonym
read learn IsA IsA
bell phone PartOf PartOf
moral objective HasProperty IsA
waste recycle Antonym Antonym
air oxygen HasA MadeOf
kitten mammal IsA IsA
garden flower HasA HasA
touch hear Antonym Antonym
toilet dirty HasProperty HasProperty
add take Antonym Antonym
burn water Antonym Antonym
dog claw HasA HasA
throw pitch Synonym Synonym
jam stuff IsA IsA
heel foot PartOf PartOf
moon yellow HasProperty HasProperty
woman female HasProperty HasProperty
orange color IsA IsA
cat baby HasA HasA
church build IsA IsA
drum wood MadeOf MadeOf
trouble innocent Antonym Antonym
accident mistake IsA Synonym
boss person IsA IsA
sky dark HasProperty HasProperty
act real Antonym Antonym
bicycle wheel HasA HasA
navy marine Antonym Synonym
girl child IsA IsA
person brain HasA HasA
paper material IsA IsA
laugh tear Antonym Antonym
love war Antonym Antonym
lose bad HasProperty HasProperty
beef meet IsA IsA
blow strike Synonym Synonym
brass_instrument band PartOf PartOf
toast bread MadeOf IsA
muscle food IsA HasA
girlfriend boy Antonym Antonym
america flag HasA IsA
intimidate frighten IsA Synonym
regular soldier IsA Synonym
hold move Antonym Antonym
boat ride IsA IsA
eat satisfy HasProperty HasProperty
disease alive Antonym Antonym
